"uriProposicao";"siglaTipo";"numero";"ano";"codTema";"tema";"relevancia"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417139";"RIC";"29";"2024";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417139";"RIC";"29";"2024";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417157";"RIC";"30";"2024";"37";"Comunicações";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417157";"RIC";"30";"2024";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417158";"RIC";"31";"2024";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417159";"RIC";"32";"2024";"35";"Arte, Cultura e Religião";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417160";"RIC";"33";"2024";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417160";"RIC";"33";"2024";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417161";"RIC";"34";"2024";"52";"Previdência e Assistência Social";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417162";"RIC";"35";"2024";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417163";"RIC";"36";"2024";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417163";"RIC";"36";"2024";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417164";"RIC";"37";"2024";"35";"Arte, Cultura e Religião";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417164";"RIC";"37";"2024";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417165";"RIC";"38";"2024";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417166";"RIC";"39";"2024";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417166";"RIC";"39";"2024";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417175";"RIC";"40";"2024";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417185";"RIC";"42";"2024";"55";"Relações Internacionais e Comércio Exterior";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416988";"PDL";"1";"2024";"37";"Comunicações";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416988";"PDL";"1";"2024";"76";"Direito e Justiça";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416988";"PDL";"1";"2024";"74";"Política, Partidos e Eleições";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417120";"PDL";"2";"2024";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417121";"PDL";"3";"2024";"62";"Ciência, Tecnologia e Inovação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417121";"PDL";"3";"2024";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417186";"PL";"132";"2024";"35";"Arte, Cultura e Religião";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417186";"PL";"132";"2024";"72";"Homenagens e Datas Comemorativas";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417186";"PL";"132";"2024";"60";"Turismo";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416863";"PL";"17";"2024";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416868";"PL";"19";"2024";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416869";"PL";"20";"2024";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417177";"PL";"131";"2024";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417177";"PL";"131";"2024";"39";"Esporte e Lazer";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416871";"PL";"21";"2024";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417195";"PL";"134";"2024";"72";"Homenagens e Datas Comemorativas";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416872";"PL";"22";"2024";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417205";"PL";"136";"2024";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417205";"PL";"136";"2024";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417205";"PL";"136";"2024";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417207";"PL";"137";"2024";"72";"Homenagens e Datas Comemorativas";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417213";"PL";"140";"2024";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417216";"PL";"142";"2024";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417216";"PL";"142";"2024";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416874";"PL";"24";"2024";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417218";"PL";"143";"2024";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417218";"PL";"143";"2024";"44";"Direitos Humanos e Minorias";"0"
