"idVotacao";"uriVotacao";"data";"descricao";"proposicao_id";"proposicao_uri";"proposicao_titulo";"proposicao_ementa";"proposicao_codTipo";"proposicao_siglaTipo";"proposicao_numero";"proposicao_ano"
"2079477-74";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2079477-74";"2024-05-15";"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  16 votos ""Sim"", 28 votos ""Não"". Quórum de votação: 44 votos.";"2079477";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2079477";"PL 4720/2016";"Altera a Lei nº 10.823, de 19 de dezembro de 2003, que dispõe sobre a subvenção econômica ao prêmio do Seguro Rural.";"139";"PL";"4720";"2016"
"2079477-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2079477-80";"2024-05-15";"Aprovado o Parecer com o seguinte resultado:  34 votos ""Sim"", 13 votos ""Não"". Quórum de votação: 47 votos.";"2079477";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2079477";"PL 4720/2016";"Altera a Lei nº 10.823, de 19 de dezembro de 2003, que dispõe sobre a subvenção econômica ao prêmio do Seguro Rural.";"139";"PL";"4720";"2016"
"2080269-51";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080269-51";"2024-06-12";"Aprovado o Parecer.";"2080269";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2080269";"PL 4808/2016";"Altera o Decreto-Lei nº 667, de 2 de julho de 1969, que reorganiza as Polícias Militares e os Corpos de Bombeiros Militares dos Estados, dos Territórios e do Distrito Federal.";"139";"PL";"4808";"2016"
"2080678-42";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080678-42";"2024-06-19";"Aprovado o Parecer.";"2080678";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2080678";"PL 4854/2016";"Acrescenta o item ""z"" ao § 9° do art. 28 da Lei n° 8.212, de 24 de julho de 1991, para retirar da base de cálculo do salário de contribuição as parcelas recebidas a título de adicional de quebra de caixa.";"139";"PL";"4854";"2016"
"2081852-82";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2081852-82";"2024-04-10";"Rejeitado o Requerimento de Retirada de Pauta.";"2081852";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2081852";"PL 4980/2016";"Acrescenta inc. V ao art. 8º da Lei nº 11.096, de 13 de janeiro de 2005, para estabelecer isenção da Contribuição Previdenciária a cargo da Empresa para a Instituição que aderir ao Programa Universidade para Todos - PROUNI";"139";"PL";"4980";"2016"
"2081852-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2081852-86";"2024-04-10";"Aprovado o Parecer com Complementação de Voto.";"2081852";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2081852";"PL 4980/2016";"Acrescenta inc. V ao art. 8º da Lei nº 11.096, de 13 de janeiro de 2005, para estabelecer isenção da Contribuição Previdenciária a cargo da Empresa para a Instituição que aderir ao Programa Universidade para Todos - PROUNI";"139";"PL";"4980";"2016"
"2085540-99";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2085540-99";"2024-05-21";"Aprovado o Parecer, apresentou voto em separado o Deputado Delegado Waldir,  com o voto contrário do Deputado Pastor Henrique Vieira e da Deputada Duda Salabert.";"2085540";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2085540";"PL 5372/2016";"Altera o art. 126 da Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal), para que o condenado com deficiência possa remir parte do tempo de execução de pena quando o seu cumprimento se der em estabelecimento prisional não dotado de acessibilidade e dá outras providências.";"139";"PL";"5372";"2016"
"2086025-22";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2086025-22";"2024-02-20";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"2086025";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2086025";"PL 5418/2016";"Dispõe sobre a publicação de listas de espera para cirurgias e exames complementares dos pacientes do Sistema Único de Saúde - SUS.";"139";"PL";"5418";"2016"
"2086181-76";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2086181-76";"2024-05-22";"Aprovado o Parecer, apresentaram votos em separado os Deputados Capitão Augusto e Junio Amaral.";"2086181";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2086181";"PL 5434/2016";"Altera a Lei nº 4.595, de 31 de dezembro de 1964, que dispõe sobre a Política e as Instituições Monetárias, Bancárias e Creditícias, cria o Conselho Monetário Nacional e dá outras providências, para nela incluir a homenagem a personalidades femininas e negras nas cédulas de moeda-papel e nas moedas metálicas.";"139";"PL";"5434";"2016"
"2086476-75";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2086476-75";"2024-05-15";"Aprovado o Parecer.";"2086476";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2086476";"PL 5461/2016";"Altera a Lei nº 8.069, de 13 de julho de 1990, que “dispõe sobre o Estatuto da Criança e do Adolescente e dá outras providências”, para assegurar o direito de as gestantes receberem gratuitamente repelente contra o mosquito Aedes aegypti.";"139";"PL";"5461";"2016"
"2088378-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2088378-59";"2024-04-17";"Aprovado o Parecer.";"2088378";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2088378";"PL 5602/2016";"Altera a Lei nº 12.608, de 10 de abril de 2012 - Política Nacional de Defesa Civil, para dispor sobre a criação de órgãos permanentes de defesa civil e dá outras providências.";"139";"PL";"5602";"2016"
"2088410-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2088410-24";"2024-02-20";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"2088410";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2088410";"PL 5610/2016";"Acrescenta parágrafo único ao art. 47 da Lei nº 8.080, de 19, de setembro de 1990, para obrigar a divulgação periódica dos medicamentos em estoque nas farmácias públicas do SUS.";"139";"PL";"5610";"2016"
